|      240 | SKW6743   |   95.000000 |
|      350 | BQ2429    |  249.000000 |
|      218 | AR1488    |  445.000000 |
|      218 | AX2103    |  160.000000 |
|      240 | SKW6576   |  155.000000 |
|      218 | AR1733    |  245.000000 |
|      218 | AR11269   |  295.000000 |
|      190 | MKS8005   |  150.000000 |
|      218 | ART5026   |  375.000000 |
|      218 | AR11053   |  295.000000 |
|      350 | BQ2417    |  149.000000 |
|      240 | SKW6664   |  135.000000 |
|      218 | AR11331   |  215.000000 |
|      190 | MKT5117   |  250.000000 |
|      350 | BQ2594    |  129.000000 |
|      350 | ES5083    |  109.000000 |
|      350 | FTW6074   |  249.000000 |
|      350 | FTW4026   |  295.000000 |
|      244 | DZ1907    |  199.000000 |
|      218 | AR11013   |  165.000000 |
|      190 | MK5354    |  275.000000 |
|      350 | FTW40531F |  349.000000 |
|      218 | AX4331    |  200.000000 |
|      190 | MK5784    |  250.000000 |
|      240 | SKW6736   |  195.000000 |
|      350 | FTW60751F |  349.000000 |
|      218 | AX5909    |  200.000000 |
|      190 | MK3735    |  195.000000 |
|      350 | FTW7014J  |  215.000000 |
|      190 | MK8897    |  250.000000 |
|      350 | FS5803    |  119.000000 |
|      240 | SKW6582   |  395.000000 |
|      190 | MKT5085J  |  350.000000 |
|      218 | AR11012   |  175.000000 |
|      190 | MK6317    |  495.000000 |
|      350 | CE1107    |  219.000000 |
|      190 | MK8344    |  275.000000 |
|      190 | MK5503    |  250.000000 |
|      240 | SKT3102   |  195.000000 |
|      218 | AR11215   |  375.000000 |
|      350 | BQ2099    |  149.000000 |
|      350 | ME3201    |  189.000000 |
|      218 | AR11338   |  245.000000 |
|      218 | AR11140   |  295.000000 |
|      190 | MKS8003   |   85.000000 |
|      350 | BQ2468SET |  249.000000 |
|      218 | AR1952    |  295.000000 |
|      350 | BQ2427    |  279.000000 |
|      218 | AX2411    |  160.000000 |
|      218 | AX2701    |  160.000000 |
|      190 | MKT5096   |  350.000000 |
|      218 | AR11011   |  165.000000 |
|      190 | MKT5080J  |  350.000000 |
|      190 | MK2747    |  150.000000 |
|      218 | AR1846    |  245.000000 |
|      190 | MK8817    |  195.000000 |
|      350 | FS5453    |  129.000000 |
|      218 | AX7118    |  110.000000 |
|      190 | MK8621    |  195.000000 |
|      218 | AX2132    |  160.000000 |
|      190 | MK8859    |  175.000000 |
|      190 | MKT5066J  |  395.000000 |
|      240 | SKW2860   |  115.000000 |
|      244 | DZ4360    |  260.000000 |
|      190 | MKT5061J  |  350.000000 |
|      190 | MK3215    |  250.000000 |
|      190 | MKT5074J  |  350.000000 |
|      190 | MKT5058J  |  375.000000 |
|      190 | MK6725    |  250.000000 |
|      190 | MK8625    |  195.000000 |
|      350 | BQ3281    |  169.000000 |
|      190 | MK8854    |  175.000000 |
|      190 | MK8641    |  250.000000 |
|      190 | MK7168    |  250.000000 |
|      350 | BQ2587    |  169.000000 |
|      350 | ES4903    |  129.000000 |
|      350 | JR1401    |  169.000000 |
|      350 | FS5512    |  149.000000 |
|      350 | BQ2408    |  169.000000 |
|      240 | SKW6659   |  125.000000 |
|      190 | MK7167    |  250.000000 |
|      240 | SKT9007   |   30.000000 |
|      350 | BQ3609    |  149.000000 |
|      218 | AX1833    |  220.000000 |
|      350 | BQ3567    |  139.000000 |
|      350 | BQ3657    |  129.000000 |
|      240 | SKW7206   |  175.000000 |
|      190 | MKT5072J  |  295.000000 |
|      218 | AR11324   |  295.000000 |
|      190 | MK8736    |  250.000000 |
|      350 | BQ2588    |  169.000000 |
|      190 | MK3192    |  250.000000 |
