Jomashop values	Normlised	Fix	Attribute			
Plasma (high-tech) Ceramic 	 Ceramic /  		 band.material			
Plasma High-Tech Ceramic 	 Ceramic /  		 band.material			
Plasma High-tech Ceramic 	 Ceramic /  		 band.material			
Plasma high-tech Ceramic 	 Ceramic /  		 band.material			
Plasma high-tech ceramic 	 Ceramic /  		 band.material			
Polished Black Ceramic 	 Ceramic /  		 band.material			
Polished White Ceramic 	 Ceramic /  		 band.material			
Polished and Satin-Finished Ceramic 	 Ceramic /  		 band.material			
Purple Ceramic 	 Ceramic /  		 band.material			
Pyramid Black Ceramic 	 Ceramic /  		 band.material			
Pyramid White Ceramic 	 Ceramic /  		 band.material			
Quilted Ceramic 	 Ceramic /  		 band.material			
Rose Gold-tone with White Ceramic Links 	 Ceramic /  		 band.material			
Satin-finished and Polished Black Ceramic Bracelet 	 Ceramic /  		 band.material			
Satin-finished and Polished Ceramic 	 Ceramic /  		 band.material			
Taupe Ceramic 	 Ceramic /  		 band.material			
Two Tone Ceramic 	 Ceramic /  		 band.material			
Two-tone (Pink and White) Ceramic 	 Ceramic /  		 band.material			
White Pyramid-cut Ceramic 	 Ceramic /  		 band.material			
White Quilted Ceramic 	 Ceramic /  		 band.material			
Yellow Ceramic 	 Ceramic /  		 band.material			
with Black Ceramic Center Links 	 Ceramic /  		 band.material			
(Hi Tech) Ceramic 	 Ceramic /  		 bezel.material			
(Hi-Tech) Ceramic 	 Ceramic /  		 bezel.material			
(High Tech) Ceramic 	 Ceramic /  		 bezel.material			
(High-Tech) Ceramic 	 Ceramic /  		 bezel.material			
(High-Tech) Ceramic showing Tachymeter Markers 	 Ceramic /  		 bezel.material			
(High-tech) Ceramic 	 Ceramic /  		 bezel.material			
(High-tech) Ceramic showing Tachymeter Markings 	 Ceramic /  		 bezel.material			
(High-tech) Ceramos 	 Ceramic /  		 bezel.material			
(Hight Tech) Ceramic 	 Ceramic /  		 bezel.material			
(Hight-Tech) Ceramic 	 Ceramic /  		 bezel.material			
(Microblasted) Ceramic 	 Ceramic /  		 bezel.material			
(Plasma High Tech) Ceramic 	 Ceramic /  		 bezel.material			
(Plasma Treated) Ceramic 	 Ceramic /  		 bezel.material			
(Satin-finished) Ceramic 	 Ceramic /  		 bezel.material			
(Ultra-Light) Ceramic 	 Ceramic /  		 bezel.material			
Black Ceramic 	 Ceramic /  		 bezel.material			
Black Ceramos showing Tachymeter Markings 	 Ceramic /  		 bezel.material			
Black and Blue Ceramic (Batman) Ring 	 Ceramic /  		 bezel.material			
Black ceramic 	 Ceramic /  		 bezel.material			
Bonze-ceramic 	 Ceramic /  		 bezel.material			
Cerachrom ceramic 	 Ceramic /  		 bezel.material			
Ceramic 	 Ceramic /  		 bezel.material			
Ceramic  showing 24 Hour Markings 	 Ceramic /  		 bezel.material			
"Ceramic ""BVLGARI"" embossed "	 Ceramic /  		 bezel.material			
Ceramic (Plasma Treatment) 	 Ceramic /  		 bezel.material			
Ceramic (Top-Ring) 	 Ceramic /  		 bezel.material			
Ceramic Gold-tone Accents 	 Ceramic /  		 bezel.material			
Ceramic Top Ring 	 Ceramic /  		 bezel.material			
Ceramic circular satin-brushed 	 Ceramic /  		 bezel.material			
Ceramic displaying 24 hour markings 	 Ceramic /  		 bezel.material			
Ceramic showing 24 Hour Markers 	 Ceramic /  		 bezel.material			
Ceramic showing 24 Hour Markings 	 Ceramic /  		 bezel.material			
Ceramic showing Compass markings 	 Ceramic /  		 bezel.material			
Ceramic showing Engraved Tachymeter Markings 	 Ceramic /  		 bezel.material			
Ceramic showing Tachymeter 	 Ceramic /  		 bezel.material			
Ceramic showing Tachymeter Marking 	 Ceramic /  		 bezel.material			
Ceramic showing Tachymeter Markings 	 Ceramic /  		 bezel.material			
Ceramic showing Tachymeter markings 	 Ceramic /  		 bezel.material			
Ceramic showing World Time Cities 	 Ceramic /  		 bezel.material			
Ceramic showing tachymeter Markings 	 Ceramic /  		 bezel.material			
Ceramic with Liquidmetal Top Ring 	 Ceramic /  		 bezel.material			
Ceramic with Plasma Treatment 	 Ceramic /  		 bezel.material			
Ceramic with Rose Gold-tone Accents 	 Ceramic /  		 bezel.material			
Ceramic with a Blue Ceramic (Count-Up Elapsed Time) Ring 	 Ceramic /  		 bezel.material			
Ceramic with a Green Ring 	 Ceramic /  		 bezel.material			
Ceramic with engraved Tachymeter Marking 	 Ceramic /  		 bezel.material			
Ceramic with engraved tachymetric scale 	 Ceramic /  		 bezel.material			
Ceramica 	 Ceramic /  		 bezel.material			
Ceramos 	 Ceramic /  		 bezel.material			
Ceramos (Ceramic) 	 Ceramic /  		 bezel.material			
High-Tech Ceramic 	 Ceramic /  		 bezel.material			
High-tech Ceramic 	 Ceramic /  		 bezel.material			
High-tech plasma Ceramic 	 Ceramic /  		 bezel.material			
Matt Ceramic 	 Ceramic /  		 bezel.material			
Matte Ceramic 	 Ceramic /  		 bezel.material			
Microblasted Ceramic 	 Ceramic /  		 bezel.material			
Microblasted and Polished Ceramic 	 Ceramic /  		 bezel.material			
PVD High-tech Ceramic 	 Ceramic /  		 bezel.material			
Plasma (High-Tech) Ceramic 	 Ceramic /  		 bezel.material			
Plasma (High-tech) Ceramic 	 Ceramic /  		 bezel.material			
Plasma (high-tech) Ceramic 	 Ceramic /  		 bezel.material			
Plasma Ceramic 	 Ceramic /  		 bezel.material			
Plasma High-Tech Ceramic 	 Ceramic /  		 bezel.material			
Plasma High-tech Ceramic 	 Ceramic /  		 bezel.material			
Plasma high-tech Ceramic 	 Ceramic /  		 bezel.material			
Polished Black Ceramic 	 Ceramic /  		 bezel.material			
Polished Blue Ceramic 	 Ceramic /  		 bezel.material			
Polished Ceramic 	 Ceramic /  		 bezel.material			
Polished Ceramic showing Tachymeter Markings 	 Ceramic /  		 bezel.material			
Polished Red Ceramic 	 Ceramic /  		 bezel.material			
Polished and Satin-finished Ceramic 	 Ceramic /  		 bezel.material			
Sandblasted Ceramic 	 Ceramic /  		 bezel.material			
Sandblasted Ceramic showing Tachymeter Markings 	 Ceramic /  		 bezel.material			
Satin-finished and Polished Ceramic 	 Ceramic /  		 bezel.material			
"Satin-finished, polished ceramic "	 Ceramic /  		 bezel.material			
Sreel with a Black Ceramic Top Ring 	 Ceramic /  		 bezel.material			
White Ceramic  showing Tachymeter Markings 	 Ceramic /  		 bezel.material			
White Ceramic Top Ring 	 Ceramic /  		 bezel.material			
White ceramic 	 Ceramic /  		 bezel.material			
ceramic 	 Ceramic /  		 bezel.material			
polymer or ceramic 	 Ceramic /  		 bezel.material			
with a Black Ceramic Ring showing Tachymeter Markings 	 Ceramic /  		 bezel.material			
(Hi Tech) Ceramic 	 Ceramic /  		 case.material			
(Hi-Tech) Ceramic 	 Ceramic /  		 case.material			
(High Tech) Ceramic 	 Ceramic /  		 case.material			
(High Tech) Ceramics 	 Ceramic /  		 case.material			
(High-Tech) Ceramic 	 Ceramic /  		 case.material			
(High-tech) Ceramic 	 Ceramic /  		 case.material			
(High-tech) Ceramos 	 Ceramic /  		 case.material			
(Highly Resistant) Ceramic 	 Ceramic /  		 case.material			
(Hight Tech) Ceramic 	 Ceramic /  		 case.material			
(Hight-Tech) Ceramic 	 Ceramic /  		 case.material			
(Microblasted) Ceramic 	 Ceramic /  		 case.material			
(Plasma High Tech) Ceramic 	 Ceramic /  		 case.material			
(Plasma Treated) Ceramic 	 Ceramic /  		 case.material			
(Sandblasted) Ceramic 	 Ceramic /  		 case.material			
(Satin-Finished) Ceramic 	 Ceramic /  		 case.material			
(Satin-finished) Ceramic 	 Ceramic /  		 case.material			
(Ultra-light High-tech) Ceramic 	 Ceramic /  		 case.material			
Antique Pearl Ceramic 	 Ceramic /  		 case.material			
Beige Ceramic 	 Ceramic /  		 case.material			
Black (Hi-tech) Ceramic 	 Ceramic /  		 case.material			
Black (High-tech) Ceramic 	 Ceramic /  		 case.material			
Black (Satin Finished) Ceramic 	 Ceramic /  		 case.material			
Black Ceramic 	 Ceramic /  		 case.material			
Black Ceramic with Gold Trim 	 Ceramic /  		 case.material			
Black Ceramics 	 Ceramic /  		 case.material			
Black Hi-tech Ceramic 	 Ceramic /  		 case.material			
Black High Tech Ceramic 	 Ceramic /  		 case.material			
Black High Tech Ceramics 	 Ceramic /  		 case.material			
Black High-Tech Ceramic 	 Ceramic /  		 case.material			
Black Matte Ceramic 	 Ceramic /  		 case.material			
Black Microblasted Ceramic 	 Ceramic /  		 case.material			
Black PVD Ceramic 	 Ceramic /  		 case.material			
Black Polished Ceramic 	 Ceramic /  		 case.material			
Black Scratchproof High-Tech Ceramic 	 Ceramic /  		 case.material			
Black Tone Ceramic Case with Gold Trim 	 Ceramic /  		 case.material			
Black and Gray Ceramic 	 Ceramic /  		 case.material			
Black high-tech Ceramic 	 Ceramic /  		 case.material			
Black matt High-tech ceramic 	 Ceramic /  		 case.material			
Black matte high-tech ceramic 	 Ceramic /  		 case.material			
Blue  Ceramic 	 Ceramic /  		 case.material			
Blue Ceramic 	 Ceramic /  		 case.material			
Blue-tone Ceramic 	 Ceramic /  		 case.material			
Blush Ceramic 	 Ceramic /  		 case.material			
Brown Ceramics 	 Ceramic /  		 case.material			
Brown matte high-tech ceramic 	 Ceramic /  		 case.material			
Brushed Black Ceramic 	 Ceramic /  		 case.material			
Butterscotch Ceramic 	 Ceramic /  		 case.material			
Ceramic 	 Ceramic /  		 case.material			
Ceramic (Plasma Treatment) 	 Ceramic /  		 case.material			
Ceramic Case with Gold Trim 	 Ceramic /  		 case.material			
Ceramic and Helium Escape Valve 	 Ceramic /  		 case.material			
Ceramic and PEEK 	 Ceramic /  		 case.material			
Ceramic and Titatinum 	 Ceramic /  		 case.material			
Ceramic circular satin-brushed 	 Ceramic /  		 case.material			
Ceramic with Plasma Treatment 	 Ceramic /  		 case.material			
Ceramic with Silver-tone Chevron Cable Wire Trim 	 Ceramic /  		 case.material			
Ceramica 	 Ceramic /  		 case.material			
Ceramics 	 Ceramic /  		 case.material			
Ceramos 	 Ceramic /  		 case.material			
Chocolate Ceramic 	 Ceramic /  		 case.material			
Gold-tone Ceramic 	 Ceramic /  		 case.material			
Gray Ceramic 	 Ceramic /  		 case.material			
Gray-tone Ceramic 	 Ceramic /  		 case.material			
Green Ceramic 	 Ceramic /  		 case.material			
Grey Ceramic 	 Ceramic /  		 case.material			
Hi Tech Ceramic 	 Ceramic /  		 case.material			
Hi-Tech Ceramic 	 Ceramic /  		 case.material			
High Tech Ceramic 	 Ceramic /  		 case.material			
High Tech White Ceramic 	 Ceramic /  		 case.material			
High-Tech Black Ceramic 	 Ceramic /  		 case.material			
High-Tech Ceramic 	 Ceramic /  		 case.material			
High-Tech Ceramos 	 Ceramic /  		 case.material			
High-Tech Grey Ceramic 	 Ceramic /  		 case.material			
High-Tech Plasma Ceramic 	 Ceramic /  		 case.material			
High-Tech White Ceramic 	 Ceramic /  		 case.material			
High-tech Black Ceramic 	 Ceramic /  		 case.material			
High-tech Ceramic 	 Ceramic /  		 case.material			
High-tech plasma Ceramic 	 Ceramic /  		 case.material			
Light Blue Ceramic 	 Ceramic /  		 case.material			
Maroon Ceramic 	 Ceramic /  		 case.material			
Matt Black Ceramic 	 Ceramic /  		 case.material			
Matt Ceramic 	 Ceramic /  		 case.material			
Matte Black Ceramic 	 Ceramic /  		 case.material			
Matte Blue Ceramic 	 Ceramic /  		 case.material			
Matte Ceramic 	 Ceramic /  		 case.material			
Micro Blasted Ceramic 	 Ceramic /  		 case.material			
Micro Blastic Black Ceramic 	 Ceramic /  		 case.material			
Micro-Blasted Black Ceramic 	 Ceramic /  		 case.material			
Microblasted  Ceramic 	 Ceramic /  		 case.material			
Microblasted Black Ceramic 	 Ceramic /  		 case.material			
Microblasted Ceramic 	 Ceramic /  		 case.material			
Microblasted and Polished Ceramic 	 Ceramic /  		 case.material			
Microblasted and Polished White Ceramic 	 Ceramic /  		 case.material			
Navy Blue Ceramic 	 Ceramic /  		 case.material			
Olive Green Ceramic 	 Ceramic /  		 case.material			
Pearl Ceramic 	 Ceramic /  		 case.material			
Pink Ceramic 	 Ceramic /  		 case.material			
Pink ceramic 	 Ceramic /  		 case.material			
Plasma (High-tech) Ceramic 	 Ceramic /  		 case.material			
Plasma (high-tech) Ceramic 	 Ceramic /  		 case.material			
Plasma High-Tech Ceramic 	 Ceramic /  		 case.material			
Plasma High-tech Ceramic 	 Ceramic /  		 case.material			
Plasma high-tech Ceramic 	 Ceramic /  		 case.material			
Plasma high-tech ceramic 	 Ceramic /  		 case.material			
Plasma high-tech ceramic Ceramos 	 Ceramic /  		 case.material			
Polished Black Ceramic 	 Ceramic /  		 case.material			
Polished Ceramic 	 Ceramic /  		 case.material			
Polished High-Tech Ceramic 	 Ceramic /  		 case.material			
Polished Micro-blasted Black Ceramic 	 Ceramic /  		 case.material			
Polished Micro-blasted Grey Ceramic 	 Ceramic /  		 case.material			
Polished Red Ceramic 	 Ceramic /  		 case.material			
Polished and Satin-finish Black Ceramic 	 Ceramic /  		 case.material			
Polished and Satin-finished Black Ceramic 	 Ceramic /  		 case.material			
Rose Gold-tone and White Ceramic 	 Ceramic /  		 case.material			
Sandblasted Ceramic 	 Ceramic /  		 case.material			
Satin-Brushed Black Ceramic 	 Ceramic /  		 case.material			
Satin-Finish Black Ceramic 	 Ceramic /  		 case.material			
Satin-Finished Black Ceramic 	 Ceramic /  		 case.material			
Satin-finished and Polished Ceramic 	 Ceramic /  		 case.material			
Satin-finished black Ceramic 	 Ceramic /  		 case.material			
Scratchproof Ceramic 	 Ceramic /  		 case.material			
Shiny Black Ceramic 	 Ceramic /  		 case.material			
Silver-tone Ceramos 	 Ceramic /  		 case.material			
TZP Ceramic 	 Ceramic /  		 case.material			
Taupe Ceramic 	 Ceramic /  		 case.material			
Two Tone Ceramic 	 Ceramic /  		 case.material			
White High Tech Ceramic 	 Ceramic /  		 case.material			
White High-Tech Ceramic 	 Ceramic /  		 case.material			
Yellow Ceramic 	 Ceramic /  		 case.material			
Yellow-tone Ceramic 	 Ceramic /  		 case.material			
Carbon Coated Ceramic 	 Ceramic / Carbon /  		 band.material			
forged carbon and ceramic 	 Ceramic / Carbon /  		 bezel.material			
Carbon / Ceramic 	 Ceramic / Carbon /  		 case.material			
Black Ceramic Bracelet with Diamond-filled Center 	 Ceramic / Diamond /  		 band.material			
Black Ceramic Bracelet with Diamonds Filled Center 	 Ceramic / Diamond /  		 band.material			
Black Ceramic set with 320 Diamonds (2.14 carats) 	 Ceramic / Diamond /  		 band.material			
Ceramic and Diamonds 	 Ceramic / Diamond /  		 band.material			
Ceramic set with Diamonds 	 Ceramic / Diamond /  		 band.material			
White Ceramic With Diamonds 	 Ceramic / Diamond /  		 band.material			
White Ceramic and Diamonds 	 Ceramic / Diamond /  		 band.material			
(High-Tech) Ceramic set with 64 Diamonds 	 Ceramic / Diamond /  		 bezel.material			
40 Diamond Set and Ceramic 	 Ceramic / Diamond /  		 bezel.material			
48 Diamond Set and Ceramic 	 Ceramic / Diamond /  		 bezel.material			
Ceramic set with 38 Diamonds 	 Ceramic / Diamond /  		 bezel.material			
Ceramic set with 48 Diamonds 	 Ceramic / Diamond /  		 bezel.material			
Ceramic set with 53 Diamond (0.96 c 	 Ceramic / Diamond /  		 bezel.material			
Ceramic set with Diamonds 	 Ceramic / Diamond /  		 bezel.material			
Ceramic with Diamonds 	 Ceramic / Diamond /  		 bezel.material			
Ceramic- Diamond Set 	 Ceramic / Diamond /  		 bezel.material			
Ceramos set with Diamonds 	 Ceramic / Diamond /  		 bezel.material			
Diamond Set Ceramic 	 Ceramic / Diamond /  		 bezel.material			
Diamond Set and Ceramic 	 Ceramic / Diamond /  		 bezel.material			
Diamond Set and Pearl Ceramicet 	 Ceramic / Diamond /  		 bezel.material			
Forged Black Ceramic set with 32 Diamonds 	 Ceramic / Diamond /  		 bezel.material			
set with Black Ceramic and Diamonds 	 Ceramic / Diamond /  		 bezel.material			
Ceramic and Diamonds 	 Ceramic / Diamond /  		 case.material			
White Ceramic and Diamonds 	 Ceramic / Diamond /  		 case.material			
Black Polyurethane with White Ceramic barrels 	 Ceramic / Polyurethane /  		 band.material			
Polyurethane with Ceramic links 	 Ceramic / Polyurethane /  		 band.material			
Black Rubber and Black Ceramic 	 Ceramic / Rubber /  		 band.material			
Black Rubber with Black Ceramic Elements 	 Ceramic / Rubber /  		 band.material			
Black Rubber with Black Ceramic Elements. 	 Ceramic / Rubber /  		 band.material			
Ceramic and Rubber 	 Ceramic / Rubber /  		 band.material			
Ceramic with a Black Rubber Center 	 Ceramic / Rubber /  		 band.material			
Rubber (with Ceramic Elements) 	 Ceramic / Rubber /  		 band.material			
Rubber Strap with Black Ceramic Inserts 	 Ceramic / Rubber /  		 band.material			
Rubber and Ceramic 	 Ceramic / Rubber /  		 band.material			
Rubber and Microblasted Ceramic 	 Ceramic / Rubber /  		 band.material			
Rubber with Black Ceramic Elements 	 Ceramic / Rubber /  		 band.material			
Rubber with Black Ceramic links 	 Ceramic / Rubber /  		 band.material			
Rubber with Ceramic Elements 	 Ceramic / Rubber /  		 band.material			
Rubber with Ceramic Inserts 	 Ceramic / Rubber /  		 band.material			
Rubber with Integrated Black Ceramic 	 Ceramic / Rubber /  		 band.material			
Rubber with integrated Black Ceramic elements 	 Ceramic / Rubber /  		 band.material			
Ceramic  and Black Rubber engraved with World Time Citie 	 Ceramic / Rubber /  		 bezel.material			
Ceramic and Black Rubber engraved with World Time Citie 	 Ceramic / Rubber /  		 bezel.material			
Ceramic with Galvanized Rubber 	 Ceramic / Rubber /  		 bezel.material			
Ceramic with a Rubber Rotating Outer Ring 	 Ceramic / Rubber /  		 bezel.material			
Ceramic set with Blue Sapphire Baguettes 	 Ceramic / Sapphire /  		 bezel.material			
Ceramic with Pink Sapphires 	 Ceramic / Sapphire /  		 case.material			
Silver Ceramic 	 Ceramic / Silver /  		 band.material			
Grey/Silver Ceramic 	 Ceramic / Silver /  		 case.material			
Silver Ceramic 	 Ceramic / Silver /  		 case.material			
Two-tone Ceramic ( Black and Silver) 	 Ceramic / Silver /  		 case.material			
Ceramic with Silver -plated Lugs set with Diamonds 	 Ceramic / Silver / Diamond /  		 bezel.material			
Ceramic and Tungsten 	 Ceramic / Tungsten /  		 band.material			
Tungsten and White Ceramic 	 Ceramic / Tungsten /  		 band.material			
Tungstenl and Black Ceramic 	 Ceramic / Tungsten /  		 band.material			
Tungstenl and Brown Ceramic 	 Ceramic / Tungsten /  		 band.material			
Ceramic with Tungsten filled recesses 	 Ceramic / Tungsten /  		 bezel.material			
Ceramic and Tungsten 	 Ceramic / Tungsten /  		 case.material			
Black TR90 Composite 	 Composite /  		 band.material			
Composite 	 Composite /  		 band.material			
Tropical Composite 	 Composite /  		 band.material			
Composite 	 Composite /  		 bezel.material			
Composite (Ultralight Polymer) showing Compass Markings 	 Composite /  		 bezel.material			
CompositeMetal 	 Composite /  		 bezel.material			
Mumetal and Carbide Composite 	 Composite /  		 bezel.material			
TR-90 Composite 	 Composite /  		 bezel.material			
TR90 Composite 	 Composite /  		 bezel.material			
Black Composite 	 Composite /  		 case.material			
Black TR-90 Composite 	 Composite /  		 case.material			
Black TR90 Composite 	 Composite /  		 case.material			
Black TR90 Composite Material 	 Composite /  		 case.material			
Black TR90 composite material 	 Composite /  		 case.material			
Blue TR90 Composite 	 Composite /  		 case.material			
Composite 	 Composite /  		 case.material			
Composite (Ultralight Polymer) 	 Composite /  		 case.material			
CompositeMetal 	 Composite /  		 case.material			
Mumetal and Carbide Composite 	 Composite /  		 case.material			
Nanotube Composite 	 Composite /  		 case.material			
Navy Blue TR90 Composite Material 	 Composite /  		 case.material			
Navy TR90 Composite 	 Composite /  		 case.material			
Red TR90 Composite 	 Composite /  		 case.material			
TR-90 Composite 	 Composite /  		 case.material			
TR90 Composite 	 Composite /  		 case.material			
TR90 Composite Material 	 Composite /  		 case.material			
White  TR90 Composite 	 Composite /  		 case.material			
White TR90 Composite 	 Composite /  		 case.material			
White TR90 Composite Material 	 Composite /  		 case.material			
White TR90 composite material 	 Composite /  		 case.material			
Composite Alloy 	 Composite / Alloy /  		 bezel.material			
Composite Alloy 	 Composite / Alloy /  		 case.material			
Composite Metal 	 Composite / Base Metal /  		 bezel.material			
Composite Metal  showing 24 Hour Markers 	 Composite / Base Metal /  		 bezel.material			
Composite Metal  with a Black Ring showing 24 Hour (GMT) Markers 	 Composite / Base Metal /  		 bezel.material			
Composite Metal  with a Tortoiseshell Inlay 	 Composite / Base Metal /  		 bezel.material			
Composite Metal showing 24 Hour (GMT) Markers 	 Composite / Base Metal /  		 bezel.material			
Composite Metal showing Tachymeter Markings 	 Composite / Base Metal /  		 bezel.material			
Composite Metal with a Green Ring 	 Composite / Base Metal /  		 bezel.material			
Composite Metal with a Grey Inlay 	 Composite / Base Metal /  		 bezel.material			
Composite Metal with a Tortoise-shell Inlay 	 Composite / Base Metal /  		 bezel.material			
Composite Metal with a Tortoiseshell Inlay 	 Composite / Base Metal /  		 bezel.material			
Composite Metal with a Yellow Gold-tone Ring 	 Composite / Base Metal /  		 bezel.material			
Composite metal 	 Composite / Base Metal /  		 bezel.material			
Metal Composite 	 Composite / Base Metal /  		 bezel.material			
Composite Metal 	 Composite / Base Metal /  		 case.material			
Composite metal 	 Composite / Base Metal /  		 case.material			
Metal Composite 	 Composite / Base Metal /  		 case.material			
Composite Metal with a Tortoise-shell Acetate Ring 	 Composite / Base Metal / Acetate /  		 bezel.material			
Ceramos (Hi-Tech Ceramic & Metal Composite) 	 Composite / Base Metal / Ceramic /  		 band.material			
Ceramos (Hi-Tech Ceramic and Metal Composite) 	 Composite / Base Metal / Ceramic /  		 band.material			
Ceramos (Hi-Tech Ceramic & Metal Composite) 	 Composite / Base Metal / Ceramic /  		 bezel.material			
Ceramos (Hi-Tech Ceramic and Metal Composite 	 Composite / Base Metal / Ceramic /  		 bezel.material			
Ceramos (Hi-Tech Ceramic and Metal Composite) 	 Composite / Base Metal / Ceramic /  		 bezel.material			
Ceramos (Hi-Tech Ceramic & Metal Composite) 	 Composite / Base Metal / Ceramic /  		 case.material			
Ceramos (Hi-Tech Ceramic and Metal Composite) 	 Composite / Base Metal / Ceramic /  		 case.material			
Composite Metal  set with Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal  set with Green Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal  set with Ombra Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal  set with Swarovski Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal  set with White Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with  Baguette Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with  Swarovski Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with (Zircon) Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with 40 Marquise-shaped Swarovski Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Baguette Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Blue Baguette Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Blue Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Blue Swarovski Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Green Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Green Swarovski Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Multi-Colored Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Multi-Colored Swarovski Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Pink Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Red Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Red Swarovski Baguette Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Red Swarovski Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Swarovski  Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Swarovski  Crystals at the 6 and 12 o'clock positions 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Swarovski Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Two Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Two Swarovski Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with White Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Zircon Crystals 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with Blue Faceted Crystal Ring 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with Crystal Pave 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with Faceted Crystal Ring 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with Green Faceted Crystal Ring 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with Red Faceted Crystal Ring 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with Rose Gold-tone Faceted Crystal Ring 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with a Black Faceted Crystal Ring 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with a Faceted Crystal Ring 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with a Rose  Faceted Crystal Ring 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal with a Rose Faceted Crystal Ring 	 Composite / Base Metal / Crystal /  		 bezel.material			
Composite Metal set with Crystals 	 Composite / Base Metal / Crystal /  		 case.material			
Composite Metal  set with Diamonds 	 Composite / Base Metal / Diamond /  		 bezel.material			
Composite Metal set with Diamonds 	 Composite / Base Metal / Diamond /  		 bezel.material			
Composite Metal with Blue Enamel Inlays 	 Composite / Base Metal / Enamel /  		 bezel.material			
Composite Metal with a Green Enamel Swirl Inlays 	 Composite / Base Metal / Enamel /  		 bezel.material			
Composite Metal with a Red Enamel Inlay 	 Composite / Base Metal / Enamel /  		 bezel.material			
Carbon Composite 	 Composite / Carbon /  		 bezel.material			
Carbon Composite 	 Composite / Carbon /  		 case.material			
Carbon Nanotube Composite 	 Composite / Carbon /  		 case.material			
Ultra-light Carbon Matrix Composite 	 Composite / Carbon /  		 case.material			
Carbon Fiber Composite 	 Composite / Carbon Fiber /  		 bezel.material			
Carbon Fiber Composite 	 Composite / Carbon Fiber /  		 case.material			
Composite Ceramic 	 Composite / Ceramic /  		 case.material			
"Ceramic. Black Composite Resin Bezel Lug"" "	 Composite / Ceramic / Resin /  		 bezel.material			
Black Ceramic and Black Composite Resin 	 Composite / Ceramic / Resin /  		 case.material			
Composite set with Crystal Pave 	 Composite / Crystal /  		 bezel.material			
Composite set with Crystals 	 Composite / Crystal /  		 bezel.material			
Glass Fiber Composite 	 Composite / Fiber /  		 case.material			
Glass Fiber Composite Polymide 	 Composite / Fiber /  		 case.material			
Composite Metal with a Gold Faceted Crystal Ring 	 Composite / Gold / Base Metal / Crystal /  		 bezel.material			
18kt King Gold and Composite 	 Composite / King Gold /  		 case.material			
Composite Plastic 	 Composite / Plastic /  		 band.material			
Black TR90 Thermoplastic Composite 	 Composite / Plastic /  		 case.material			
Composite Plastic 	 Composite / Plastic /  		 case.material			
High Tech Thermoplastic Composite 	 Composite / Plastic /  		 case.material			
Composite ABS Plastic/Fiberglass 	 Composite / Plastic / Fiber Glass /  		 case.material			
