Jomashop values	Normlised	Fix	Attribute			
Spun Silk 	Fabric	Fabric	 band.material			
Strap 	  		 band.material			
Strap Not Included 	  		 band.material			
Strp zebra 	  		 band.material			
Techno 	  		 band.material			
Techno Silk 	Fabric	Fabric	 band.material			
Techno-Silk 	Fabric	Fabric	 band.material			
Technological silk 	Fabric	Fabric	 band.material			
Tiole Brossee 	  		 band.material			
Titanuim 	Titanium	Titanium	 band.material			
Toile de Voile 	  		 band.material			
Transparent Structured Lined 	  		 band.material			
"Tri-tone (Black, Silver-tone and Yellow Gold-tone) "	  		 band.material			
"Tri-tone (White, Gold-tone and Silver-tone) Stainl "	Stainless Steel	Stainless Steel	 band.material			
Tweed 	  		 band.material			
Two-tone 	  		 band.material			
Two-tone (Black Ion-plated and Rose Gold-tone) Sta 	Stainless Steel	Stainless Steel	 band.material			
Two-tone (Black and Industrial Green Ion-plated) S 	Stainless Steel	Stainless Steel	 band.material			
Two-tone (Gold-tone and Black Ion-plated) Stainle 	Stainless Steel	Stainless Steel	 band.material			
Two-tone (Rose Gold-tone and Grey Ion-plated) Stai 	Stainless Steel	Stainless Steel	 band.material			
Two-tone (Silver-tone and 18kt Rose Gold-tone) Sta 	Stainless Steel	Stainless Steel	 band.material			
Two-tone (Silver-tone and Black Ion-plated) Stainl 	Stainless Steel	Stainless Steel	 band.material			
Two-tone (Silver-tone and Gunmatal Ion-plated) Sta 	  		 band.material			
Two-tone Silver-tone and Gold-tone PVD 	  		 band.material			
Vegan Blush 	  		 band.material			
Vegan Nude 	  		 band.material			
Vegan Rose Sand 	  		 band.material			
Velcro 	Fabric	Fabric	 band.material			
White 	  		 band.material			
White Gel Strap 	  		 band.material			
Yellow 	  		 band.material			
Yellow Elastic 	  		 band.material			
Yellow Gold-tone 	  		 band.material			
Yellow Gold-tone Expansion 	  		 band.material			
Yellow Sand Blue ilicone 	Sillicone	Sillicone	 band.material			
Zucchino FF 	  		 band.material			
pink patent bracelet 	  		 band.material			
(Anodized) Alumunium 	Aluminium	Aluminium	 bezel.material			
(Chroma Finish) Ion-plated 	  		 bezel.material			
(Transparent) Plexiglas 	Plexiglass	Plexiglass	 bezel.material			
114 Diamionds 	Diamond	Diamond	 bezel.material			
120 Cubic Zirconia White Stones 1.50mm 	  		 bezel.material			
18 Gold Tone 	  		 bezel.material			
187 Baguette Multi-Coloured 	  		 bezel.material			
18kt Everose  Gold-tone 	  		 bezel.material			
18kt Everose Gold-tone 	  		 bezel.material			
18kt Gold-tone 	  		 bezel.material			
18kt Rose Gold-tone Plated 	Rose Gold-plated	Rose Gold-plated	 bezel.material			
18kt Rose Gold-tone Plating 	Rose Gold-plated	Rose Gold-plated	 bezel.material			
18kt Yellow Gold-Tone 	  		 bezel.material			
36 Amethysts Set 	  		 bezel.material			
36 Blue Topazes 	Topazes	Topazes	 bezel.material			
48 Baguette Amethyst Mineral Stones 	Mineral Stones	Mineral Stones	 bezel.material			
48 Baguette Cut Blue Topaz Mineral Stones 	Mineral Stones	Mineral Stones	 bezel.material			
48 Baguette Cut Tsavorite Stones 	Mineral Stones	Mineral Stones	 bezel.material			
48 Baguette cut Purple Amethysts mineral stones 	  		 bezel.material			
"48 Baguette-cut Orange, Yellow "	  		 bezel.material			
950 Platiunum 	Platinum	Platinum	 bezel.material			
Allpy 	Alloy	Alloy	 bezel.material			
Amethyst Set 	  		 bezel.material			
Andalusite Baguettes Set 	  		 bezel.material			
BMG-Tech 	  		 bezel.material			
BMG-Tech (Count-Up Elapsed Time Top) Ring 	  		 bezel.material			
Baguette 	  		 bezel.material			
Baguette Precious Stones 	  		 bezel.material			
Baguette Rubbied 	  		 bezel.material			
Baguette Rubies Set 	  		 bezel.material			
